ID;Name
1;muffled explosion
2;clock ticking
3;train going by
4;popcorn popping
5;crickets chirping
6;airplane fly-by
7;bacon frying
8;whipping sound
9;bowling pins falling
10;glass breaking
11;car starting
12;shuffling cards
13;meow
14;popping sound
15;horn honking
16;applause
17;soda can opening
18;photocopier making copies
19;multiple voices speaking
20;toilet flushing
21;door creaking
22;fire crackling
23;trilled note on flute
24;gong crash
25;saw moving back and forth
26;heartbeat
27;vinyl record skipping
28;helicopter noise
29;horse running
30;ice cubes jangling in glass
31;boing sound
32;keys jangling
33;gulping
34;cash register jingling
35;thunder
36;match striking
37;bell ringing
38;zipper zipping up
39;owl hooting
40;high heels footsteps
41;scissors cutting paper
42;laughing
43;sneezing
44;splash
45;stapler
46;snoring
47;tea kettle whistling
48;tennis racquet hitting ball
49;lock turning
50;kissing sound
